name,is_good,times_used
manifest_version_2,1,2750
script-scr:unsafe-eval,0,902
script-scr:unsafe-eval-base64-hash,1,12
script-scr:unsafe-inline,0,2
script-scr:unsafe-inline-base64-hash,0,2
script-src:non-localhost-http-url,0,0
style-scr:unsafe-eval,0,4
style-scr:unsafe-eval-base64-hash,0,0
style-scr:unsafe-inline,0,48
style-scr:unsafe-inline-base64-hash,1,0
style-src:non-localhost-http-url,0,5
default-src,1,55
base-uri,1,5
form-action,1,4
frame-ancestors,1,7
plugin-types,1,0
report-uri,1,7
sandbox,1,5