permission,specialty
activeTab,non-special
alarms,non-special
background,non-special
bookmarks,non-special
browsingData,non-special
certificateProvider,non-special
clipboardRead,non-special
clipboardWrite,non-special
contentSettings,special
contextMenus,non-special
cookies,special
debugger,non-special
declarativeContent,non-special
declarativeNetRequest,non-special
declarativeWebRequest,non-special
desktopCapture,special
displaySource,non-special
dns,special
documentScan,special
downloads,special
enterprise.deviceAttributes,special
enterprise.hardwarePlatform,special
enterprise.platformKeys,special
experimental,non-special
fileBrowserHandler,non-special
fileSystemProvider,non-special
fontSettings,special
gcm,non-special
geolocation,special
history,special
identity,special
idle,non-special
idltest,non-special
management,non-special
nativeMessaging,non-special
networking.config,special
notifications,non-special
pageCapture,non-special
platformKeys,special
power,special
printerProvider,non-special
privacy,special
processes,special
proxy,special
sessions,non-special
signedInDevices,non-special
storage,special
system.cpu,special
system.display,special
system.memory,special
system.storage,special
tabCapture,non-special
tabs,non-special
topSites,non-special
tts,non-special
ttsEngine,non-special
unlimitedStorage,special
vpnProvider,special
wallpaper,non-special
webNavigation,special
webRequest,special
webRequestBlocking,special